algorithm,base_estimator,learning_rate,n_estimators,mean_test_score,std_test_score,rank_test_score
SAMME,DecisionTreeClassifier(max_depth=50),0.1,5,0.6619047619047619,0.06098213559459855,13
SAMME,DecisionTreeClassifier(max_depth=50),0.1,10,0.6619047619047619,0.06098213559459858,13
SAMME,DecisionTreeClassifier(max_depth=50),0.1,50,0.6523809523809524,0.04665694748158435,31
SAMME,DecisionTreeClassifier(max_depth=50),0.1,100,0.6571428571428571,0.0490268101951762,19
SAMME,DecisionTreeClassifier(max_depth=50),0.5,5,0.6666666666666666,0.06023386019368341,10
SAMME,DecisionTreeClassifier(max_depth=50),0.5,10,0.6809523809523809,0.06317380553057905,1
SAMME,DecisionTreeClassifier(max_depth=50),0.5,50,0.6714285714285714,0.06098213559459856,6
SAMME,DecisionTreeClassifier(max_depth=50),0.5,100,0.6761904761904761,0.06135285107964345,2
SAMME,DecisionTreeClassifier(max_depth=50),1.0,5,0.6619047619047619,0.06098213559459858,13
SAMME,DecisionTreeClassifier(max_depth=50),1.0,10,0.6714285714285714,0.06098213559459856,6
SAMME,DecisionTreeClassifier(max_depth=50),1.0,50,0.6714285714285714,0.06098213559459856,6
SAMME,DecisionTreeClassifier(max_depth=50),1.0,100,0.6761904761904761,0.06135285107964345,2
SAMME,LogisticRegression(random_state=1997),0.1,5,0.5761904761904761,0.0590936840285279,48
SAMME,LogisticRegression(random_state=1997),0.1,10,0.5952380952380952,0.052164053095730085,44
SAMME,LogisticRegression(random_state=1997),0.1,50,0.6571428571428571,0.05128728387747147,19
SAMME,LogisticRegression(random_state=1997),0.1,100,0.6571428571428571,0.05128728387747147,19
SAMME,LogisticRegression(random_state=1997),0.5,5,0.6571428571428571,0.07468755781599103,19
SAMME,LogisticRegression(random_state=1997),0.5,10,0.6571428571428571,0.08192690730516786,19
SAMME,LogisticRegression(random_state=1997),0.5,50,0.6571428571428571,0.08192690730516786,19
SAMME,LogisticRegression(random_state=1997),0.5,100,0.6571428571428571,0.08192690730516786,19
SAMME,LogisticRegression(random_state=1997),1.0,5,0.5904761904761905,0.06966066113489426,45
SAMME,LogisticRegression(random_state=1997),1.0,10,0.661904761904762,0.040963453652583935,11
SAMME,LogisticRegression(random_state=1997),1.0,50,0.6571428571428571,0.032296809443453645,19
SAMME,LogisticRegression(random_state=1997),1.0,100,0.6571428571428571,0.032296809443453645,19
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,5,0.6619047619047619,0.06098213559459855,13
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,10,0.6761904761904761,0.05553287518900288,2
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,50,0.6571428571428571,0.04665694748158435,19
SAMME.R,DecisionTreeClassifier(max_depth=50),0.1,100,0.6285714285714287,0.049026810195176206,38
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,5,0.6761904761904761,0.05753831415997418,2
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,10,0.6380952380952382,0.06966066113489425,35
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,50,0.6238095238095237,0.060982135594598544,39
SAMME.R,DecisionTreeClassifier(max_depth=50),0.5,100,0.6333333333333334,0.07619047619047617,36
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,5,0.6523809523809524,0.05128728387747147,31
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,10,0.6238095238095237,0.06966066113489426,39
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,50,0.6238095238095237,0.06966066113489426,39
SAMME.R,DecisionTreeClassifier(max_depth=50),1.0,100,0.6238095238095237,0.06966066113489426,39
SAMME.R,LogisticRegression(random_state=1997),0.1,5,0.5809523809523809,0.06494372236659932,47
SAMME.R,LogisticRegression(random_state=1997),0.1,10,0.5904761904761905,0.06966066113489426,45
SAMME.R,LogisticRegression(random_state=1997),0.1,50,0.6428571428571428,0.045175395145262566,33
SAMME.R,LogisticRegression(random_state=1997),0.1,100,0.657142857142857,0.03563483225498991,30
SAMME.R,LogisticRegression(random_state=1997),0.5,5,0.6095238095238096,0.051287283877471446,43
SAMME.R,LogisticRegression(random_state=1997),0.5,10,0.661904761904762,0.04856209060564558,11
SAMME.R,LogisticRegression(random_state=1997),0.5,50,0.6571428571428573,0.03868589716493313,17
SAMME.R,LogisticRegression(random_state=1997),0.5,100,0.6571428571428571,0.03563483225498991,19
SAMME.R,LogisticRegression(random_state=1997),1.0,5,0.6428571428571428,0.03367175148507368,33
SAMME.R,LogisticRegression(random_state=1997),1.0,10,0.6333333333333333,0.03868589716493314,37
SAMME.R,LogisticRegression(random_state=1997),1.0,50,0.6666666666666667,0.030116930096841688,9
SAMME.R,LogisticRegression(random_state=1997),1.0,100,0.6571428571428573,0.03868589716493313,17
